survey,item,item_cl,variable,values,question_text,response_categories
arabb2,evdem4,evdemoc_arabb,q5171,c(4:1),"a democratic political system (public freedoms, guarantees equality in political and civil rights, alternation of power, and accountability and transparency of the executive authority)",1 very good / 2 good / 3 bad / 4 very bad
arabb2,strong4b,strong_arabb_1,q5172,c(1:4),a political system with an authoritarian president (non-democratic) who is indifferent to parliament and elections,1 very good / 2 good / 3 bad / 4 very bad
arabb2,suitable10,democsuit_arabb10,q512,c(1:10),the extent to which democracy is suitable for your country,1 complete unsuitable / 10 complete suitable
arabb3,church4,church_arabb,q5164,c(4:1),"A democratic system may have problems, yet it is better than other systems",1 I strongly agree / 2 I agree / 3 I disagree / 4 I strongly Disagree
arabb3,evdem4,evdemoc_arabb,q5171,c(4:1),"a democratic political system (public freedoms, guarantees equality in political and civil rights, alternation of power, and accountability and transparency of the executive authority)",1 very good / 2 good / 3 bad / 4 very bad
arabb3,strong4b,strong_arabb_1,q5172,c(1:4),a political system with an authoritarian president (non-democratic) who is indifferent to parliament and elections,1 very good / 2 good / 3 bad / 4 very bad
arabb3,suitable11,democsuit_arabb11,q512,c(0:10),the extent to which democracy is suitable for your country,0 absolutely inappropriate / 10 completely appropriate
arabb4,church4,church_arabb,q5164,c(4:1),"A democratic system may have problems, yet it is better than other systems",1 I strongly agree / 2 I agree / 3 I disagree / 4 I strongly Disagree
arabb4,suitable11,democsuit_arabb11,q512,c(0:10),the extent to which democracy is suitable for your country,0 absolutely inappropriate / 10 completely appropriate
arabb4,threestate_231,threestate_arabb,q516a,"c(2,3,1)",which of these three statements is closest to your own opinion,1 democracy is always preferable t any other kind of government / 2 under some circumstances a nondemocratic government can be preferable / 3 for people like me it does not matter what kind of government we have
arabb5,church4,church_arabb,q516_4,c(4:1),"A democratic system may have problems, yet it is better than other systems",1 I strongly agree / 2 I agree / 3 I disagree / 4 I strongly Disagree
arabb5,suitable11,democsuit_arabb11,q512,c(0:10),the extent to which democracy is suitable for your country,0 absolutely inappropriate / 10 completely appropriate
arabb5,threestate_213,threestate_arabb2,q516a,"c(2,1,3)",which of these three statements is closest to your own opinion,1 for people like me it doesn't matter what kind of government we have / 2 under some circumstances a non-democratic government can be preferable / 3 democracy is always preferable to any other kind of government
arabb61,threestate_213,threestate_arabb2,q516a,"c(2,1,3)",which of these three statements is closest to your own opinion,1 for people like me it doesn't matter what kind of government we have / 2 under some circumstances a non-democratic government can be preferable / 3 democracy is always preferable to any other kind of government
arabb62,strong4c,strong_arabb_2,q533_4,c(4:1),this country needs a leader who can bend the rules if necessary to get things done,1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree
arabb62,strong4d,strong_arabb_3,q533_5,c(4:1),as long as the government can maintain order and stability in the country it does not matter whether it is democratic or undemocratic,1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree
arabb7,church4,church_arabb,q516_4,c(4:1),"A democratic system may have problems, yet it is better than other systems",1 I strongly agree / 2 I agree / 3 I disagree / 4 I strongly Disagree
arabb7,strong4c,strong_arabb_2,q533_4,c(4:1),this country needs a leader who can bend the rules if necessary to get things done,1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree
arabb7,strong4d,strong_arabb_3,q533_5,c(4:1),as long as the government can maintain order and stability in the country it does not matter whether it is democratic or undemocratic,1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree
arabb7,threestate_213,threestate_arabb2,q516a,"c(2,1,3)",which of these three statements is closest to your own opinion,1 for people like me it doesn't matter what kind of government we have / 2 under some circumstances a non-democratic government can be preferable / 3 democracy is always preferable to any other kind of government
asiab2003,army3,army_asiab,q27_c,c(1:3),Military government,1 very good / 2 fairly good / 3 bad
asiab2003,evdem3,evdemoc_asiab,q27_d,c(3:1),A democratic political system,1 very good / 2 fairly good / bad
asiab2003,strong3,strong_asiab,q27_a,c(1:3),Governance by a powerful leader without the restriction of parliament or elections,1 very good / 2 fairly good / 3 bad
asiab2004,army3,army_asiab,q32c,c(1:3),Military government,1 very good / 2 fairly good / 3 bad
asiab2004,evdem3,evdemoc_asiab,q32d,c(3:1),A democratic political system,1 very good / 2 fairly good / bad
asiab2004,strong3,strong_asiab,q32a,c(1:3),Governance by a powerful leader without the restriction of parliament or elections,1 very good / 2 fairly good / 3 bad
asiab2005,army3,army_asiab,q34c,c(1:3),Military government,1 very good / 2 fairly good / 3 bad
asiab2005,evdem3,evdemoc_asiab,q34d,c(3:1),A democratic political system,1 very good / 2 fairly good / bad
asiab2005,strong3,strong_asiab,q34a,c(1:3),Governance by a powerful leader without the restriction of parliament or elections,1 very good / 2 fairly good / 3 bad
asiab2006,army3,army_asiab,q38c,c(1:3),Military government,1 very good / 2 fairly good / 3 bad
asiab2006,evdem3,evdemoc_asiab,q38d,c(3:1),A democratic political system,1 very good / 2 fairly good / bad
asiab2006,strong3,strong_asiab,q38a,c(1:3),Governance by a powerful leader without the restriction of parliament or elections,1 very good / 2 fairly good / 3 bad
asiab2007,army3,army_asiab,q39c,c(1:3),Military government,1 very good / 2 fairly good / 3 bad
asiab2007,evdem3,evdemoc_asiab,q39d,c(3:1),A democratic political system,1 very good / 2 fairly good / bad
asiab2007,strong3,strong_asiab,q39a,c(1:3),Governance by a powerful leader without the restriction of parliament or elections,1 very good / 2 fairly good / 3 bad
asiab2008,army3,army_asiab,q40c,c(1:3),Military government,1 very good / 2 fairly good / 3 bad
asiab2008,evdem3,evdemoc_asiab,q40d,c(3:1),A democratic political system,1 very good / 2 fairly good / bad
asiab2008,strong3,strong_asiab,q40a,c(1:3),Governance by a powerful leader without the restriction of parliament or elections,1 very good / 2 fairly good / 3 bad
asiab2008,threestate_213,threestate_asiab,q41,"c(2,1,3)",which of these three statements is closest to your own opinion,1 for people like me it doesn't matter what kind of government we have / 2 under some circumstances a non-democratic government can be preferable / 3 democracy is always preferable to any other kind of government
asianb1,army4a,army_asianb,q123,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb1,oneparty4,party_asianb,q122,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb1,strong4a,strong_asianb,q121,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb1,suitable10,democsuit_asianb,q103,c(1:10),the extent to which democracy is suitable for your country,1 complete unsuitable / 10 complete suitable
asianb1,threestate_123,threestate_asianb,q117,c(1:3),Which comes closest to your own opinion?,1 Authoritarian government can be preferable / 2 Does not matter whether we have non or democratic regime / 3 democracy is preferable to any other kind of government
asianb1,suitable10,democextent_asianb,q101,c(1:10),Here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country.,1 completely unsuitable / 10 completely suitable
asianb2,army4a,army_asianb,q126,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb2,oneparty4,party_asianb,q125,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb2,strong4a,strong_asianb,q124,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb2,suitable10,democsuit_asianb,q98,c(1:10),the extent to which democracy is suitable for your country,1 complete unsuitable / 10 complete suitable
asianb2,threestate_213,threestate_asianb,q121,"c(2,1,3)",Which of the following statements comes closest to your own opinion,1 for people like me it does not matter whether we have a democratic government or nondemocratic government / 2 under some circumstances an authoritarian government can be preferable / 3 democracy is always preferable to any other kind of government
asianb2,suitable10,democextent_asianb,q97,c(1:10),Here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country.,1 completely unsuitable / 10 completely suitable
asianb3,army4a,army_asianb,q131,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb3,church4,church_asianb,q128,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb3,oneparty4,party_asianb,q130,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb3,strong4a,strong_asianb,q129,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb3,suitable10,democsuit_asianb,q94,c(1:10),the extent to which democracy is suitable for your country,1 complete unsuitable / 10 complete suitable
asianb3,threestate_231,threestate_asianb,q124,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
asianb3,suitable10,democextent_asianb,q93,c(1:10),Here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country.,1 completely unsuitable / 10 completely suitable
asianb4,army4a,army_asianb,q132,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb4,church4,church_asianb,q129,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb4,oneparty4,party_asianb,q131,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb4,strong4a,strong_asianb,q130,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb4,suitable10,democsuit_asianb,q97,c(1:10),the extent to which democracy is suitable for your country,1 complete unsuitable / 10 complete suitable
asianb4,threestate_231,threestate_asianb,q125,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
asianb4,suitable10,democextent_asianb,q96,c(1:10),Here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country.,1 completely unsuitable / 10 completely suitable
asianb5_australia,army4a,army_asianb,q132,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_australia,church4,church_asianb,q129,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb5_australia,oneparty4,party_asianb,q131,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_australia,strong4a,strong_asianb,q130,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb5_india,army4a,army_asianb,q139,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_india,church4,church_asianb,q136,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb5_india,oneparty4,party_asianb,q138,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_india,strong4a,strong_asianb,q137,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb5_india,suitable4a,,q171,c(1:4),The citizens in our country are not prepared for a democratic system,1 Strongly agree / 2 Somewhat agree / 3 Somewhat agree / 4 Strongly disagree
asianb5_indonesia,army4a,army_asianb,v_139,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_indonesia,church4,church_asianb,v_136,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb5_indonesia,oneparty4,party_asianb,v_138,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_indonesia,strong4a,strong_asianb,v_137,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb5_indonesia,suitable4a,,v_171,c(1:4),The citizens in our country are not prepared for a democratic system,1 Strongly agree / 2 Somewhat agree / 3 Somewhat agree / 4 Strongly disagree
asianb5_japan,army4a,army_asianb,q139,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_japan,church4,church_asianb,q136,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb5_japan,oneparty4,party_asianb,q138,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_japan,strong4a,strong_asianb,q137,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb5_japan,suitable4a,,q171,c(1:4),The citizens in our country are not prepared for a democratic system,1 Strongly agree / 2 Somewhat agree / 3 Somewhat agree / 4 Strongly disagree
asianb5_korea,army4a,army_asianb,q139,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_korea,church4,church_asianb,q136,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb5_korea,oneparty4,party_asianb,q138,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_korea,strong4a,strong_asianb,q137,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb5_korea,suitable4a,,q171,c(1:4),The citizens in our country are not prepared for a democratic system,1 Strongly agree / 2 Somewhat agree / 3 Somewhat agree / 4 Strongly disagree
asianb5_malaysia,army4a,army_asianb,q139,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_malaysia,church4,church_asianb,q136,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb5_malaysia,oneparty4,party_asianb,q138,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_malaysia,strong4a,strong_asianb,q137,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb5_malaysia,suitable4a,,q171,c(1:4),The citizens in our country are not prepared for a democratic system,1 Strongly agree / 2 Somewhat agree / 3 Somewhat agree / 4 Strongly disagree
asianb5_mongolia,army4a,army_asianb,q139,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_mongolia,church4,church_asianb,q136,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb5_mongolia,oneparty4,party_asianb,q138,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_mongolia,strong4a,strong_asianb,q137,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb5_mongolia,suitable4a,,q171,c(1:4),The citizens in our country are not prepared for a democratic system,1 Strongly agree / 2 Somewhat agree / 3 Somewhat agree / 4 Strongly disagree
asianb5_myanmar,army4a,army_asianb,q139,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_myanmar,church4,church_asianb,q136,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb5_myanmar,oneparty4,party_asianb,q138,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_myanmar,strong4a,strong_asianb,q137,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb5_myanmar,suitable4a,,q171,c(1:4),The citizens in our country are not prepared for a democratic system,1 Strongly agree / 2 Somewhat agree / 3 Somewhat agree / 4 Strongly disagree
asianb5_philippines,army4a,army_asianb,q139,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_philippines,church4,church_asianb,q136,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb5_philippines,oneparty4,party_asianb,q138,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_philippines,strong4a,strong_asianb,q137,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb5_philippines,suitable4a,,q171,c(1:4),The citizens in our country are not prepared for a democratic system,1 Strongly agree / 2 Somewhat agree / 3 Somewhat agree / 4 Strongly disagree
asianb5_taiwan,army4a,army_asianb,q139,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_taiwan,church4,church_asianb,q136,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb5_taiwan,oneparty4,party_asianb,q138,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_taiwan,strong4a,strong_asianb,q137,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb5_taiwan,suitable4a,,q171,c(1:4),The citizens in our country are not prepared for a democratic system,1 Strongly agree / 2 Somewhat agree / 3 Somewhat agree / 4 Strongly disagree
asianb5_thailand,army4a,army_asianb,q139,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_thailand,church4,church_asianb,q136,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb5_thailand,oneparty4,party_asianb,q138,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_thailand,strong4a,strong_asianb,q137,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb5_thailand,suitable4a,,q171,c(1:4),The citizens in our country are not prepared for a democratic system,1 Strongly agree / 2 Somewhat agree / 3 Somewhat agree / 4 Strongly disagree
asianb5_vietnam,army4a,army_asianb,q139,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_vietnam,church4,church_asianb,q136,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
asianb5_vietnam,oneparty4,party_asianb,q138,c(1:4),Only one political party should be allowed to stand for election and hold office.,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
asianb5_vietnam,strong4a,strong_asianb,q137,c(1:4),We should get rid of parliament and elections and have a strong leader decide things.,1 strongly disapprove / 2 disapprove / 3 neither approve nor disapprove / 4 approve / 5 strongly approve
asianb5_vietnam,suitable4a,,q171,c(1:4),The citizens in our country are not prepared for a democratic system,1 Strongly agree / 2 Somewhat agree / 3 Somewhat agree / 4 Strongly disagree
bsa2005,church4,church_cses,demobest,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
caucasusb2011,threestate_231,threestate_cb,attdem,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
caucasusb2012,threestate_231,threestate_cb,attdem,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
caucasusb2013,threestate_231,threestate_cb,attdem,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
caucasusb2015,threestate_231,threestate_cb,attdem,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
caucasusb2017,threestate_231,threestate_cb,attdem,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
caucasusb2019,threestate_231,threestate_cb,attdem,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
caucasusb2020,threestate_231,threestate_cb,attdem,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
caucasusb2021,threestate_231,threestate_cb,attdem,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
cdcee,church3,church_cdcee,v40,c(3:1),Do you believe that democracy is the best form of government or is there another form of government which is better,1 best / 2 undecided / 3 other better
cdcee,elections2,election_cdcee,v276,c(2:1),elections best way to choose government,1 yes the best way / 2 no not the best way
cdcee,strong2b,strong_cdcee,v517,c(1:2),a few strong-handed leaders would be more useful to the state than the many democrats who are constantly holding meetings and consultations,1 agree / 2 disagree
cisbar198706,threestate_231,threestate_cis,p3,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
cisbar199005,threestate_231,threestate_cis,p5,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
cisbar199112,threestate_231,threestate_cis,p15,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
cisbar199312,threestate_231,threestate_cis,p6,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
cisbar201211,threestate_231,threestate_cis,p23,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
cisbar201704,threestate_231,threestate_cis,p22,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
cisbar201804,threestate_231,threestate_cis,p23,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
cisbar201912,threestate_231,threestate_cis,b3,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
cisbar202102,threestate_231,threestate_cis,regfrefe,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
cispol1989,threestate_231,threestate_cis,p11,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
cnep_combo,army4a,army_cnep,b.milrule,"c(1,2,4,5)",The army should govern the country,"1 strongly agree / 2 agree / [3 Neither agree/disagree [DO NOT ASK, BUT CODE IF THEY DO NOT AGREE OR DISAGREE]] / 4 disagree / 5 strongly disagree"
cnep_combo,oneparty4,party_cnep,b.onepartyrule,"c(1,2,4,5)",Only one political party should be allowed to stand for election and hold office ,"1 strongly agree / 2 agree / [3 Neither agree/disagree [DO NOT ASK, BUT CODE IF THEY DO NOT AGREE OR DISAGREE]] / 4 disagree / 5 strongly disagree"
cnep_combo,strong4a,strong_cnep,b.presdict,"c(1,2,4,5)",Elections and the National Assembly should be abolished so that we can have a strong leader running this country.,"1 strongly agree / 2 agree / [3 Neither agree/disagree [DO NOT ASK, BUT CODE IF THEY DO NOT AGREE OR DISAGREE]] / 4 disagree / 5 strongly disagree"
cnep_combo,threestate_312,threestate_cnep,b.demauth,"c(2,1,3)",Which of the following phrases most closely reflects your own opinion? ,"3 democracy is preferable to any other kind of government / 2 under some circumstances, an authoritarian regime, a dictatorship, is preferable to a democratic system / 1 for people like me, one regime is the same as another (presented in this order)"
cses_combo,church4,church_cses,b3015,c(4:1),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
cses5,strong5a,strong_cses,e3004_5,c(1:5),having a strong leader in government is good for your country even if the leader bends the rules to get things done,1 strongely agree / 2 somewhat agree / 3 neither agree nor disagree / 4 somewhat disagree / 5 strongly disagree
eb30,threestate_231,threestate_eb,v122,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
eb37,threestate_231,threestate_eb,v27,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
eb471,threestate_231,threestate_eb,v313,"c(2,3,1)",which of the following statements do you agree with most,1 democracy is always preferable to any other kind of government / 2 under certain situations a dictatorship is preferable / 3 for people like me it does not matter whether we have a democratic government or nondemocratic government
ess6,imp11,impdemoc_ess,implvdm,c(0:10),How important is it for you to live in a country that is governed democratically?,0 not at all important / 10 extremely important
ess10,imp11,impdemoc_ess,implvdm,c(0:10),How important is it for you to live in a country that is governed democratically?,0 not at all important / 10 extremely important
ess10,strong11,strong_ess,accalaw,c(10:0),How acceptable for you would it be for [country] to have a strong leader who is above the law?,0 not at all acceptable / 10 completely acceptable
eurasiab2001,army4a,army_eurasiab,antiarmy,c(1:4),The army (military) should come in to govern the country,1 strongly approve / 2 approve / 3 disapprove / 4 strongly disapprove
eurasiab2001,church4,church_eurasiab,demochur,c(1:4),Democracy may have its problems but it is still the best form of government,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree
eurasiab2001,strong4e,strong_eurasiab,autleade,"c(2, 1, -1, -2)",Support for strong leader,-2 fully disagree / -1 partially disagree / 1 partially agree / 2 fully agree
